id,geo,hh_size,hh_kids,hh_cellular,hh_education,hh_head_female,village_pop,village_far,treatment,asset_tot_value_bsl,asset_prod_value_bsl,asset_hh_value_bsl,asset_index_bsl,asset_prod_index_bsl,asset_hh_index_bsl,iagri_month_bsl,ibusiness_month_bsl,ipaidlabor_month_bsl,index_foodsecurity_bsl,fs_enoughfood_bsl,fs_adultskip_bsl,fs_wholeday_bsl,fs_childskip_bsl,fs_twomeals_bsl,control_primeageadult,control_income_pc,control_asset_count
31001,251,4,1,0,1,0,657,1,0,506.3684692,297.2654114,209.1030579,-0.124681212,-0.097031921,-0.407374799,83.42902374,0,23.41215515,0.740589142,0,1,1,1,0,1,54.54066086,29
31002,251,7,1,0,0,0,657,1,0,368.0213623,248.210968,119.8103943,-0.111895941,-0.125096872,0.177552089,-31.68072891,0,0,0.740589142,0,1,1,1,0,1,-11.31046963,25
31003,251,3,1,0,1,0,657,1,0,320.153717,144.9592743,175.1944427,-0.207867712,-0.144299135,-0.92880863,-21.50759506,0,23.41215515,0.740589142,0,1,1,1,0,1,0.543408215,21
31004,251,7,1,0,1,0,657,1,0,571.3599854,494.5004578,76.85949707,0.008432358,0.006704479,0.02552145,1.300675273,0,46.8243103,-2.229411125,0,0,0,0,0,1,9.205985069,25
31005,251,5,1,1,1,0,657,1,0,772.8335571,679.0197754,93.81380463,0.057188448,0.071667679,-0.201224059,-55.09288406,0,0,0.740589142,0,1,1,1,0,1,-38.91975021,10
31006,251,4,1,0,0,0,657,1,0,668.847168,569.381958,99.46523285,-0.086936332,-0.022531087,-0.92880863,-47.8462677,0,42.14188004,0.740589142,0,1,1,1,0,1,-12.69384575,25
31007,251,4,1,0,1,1,657,1,0,2321.609131,2085.37915,236.2299347,0.474626988,0.509520948,-0.451643497,0,0,0,0.740589142,0,1,1,1,0,1,-0.767165422,24
31008,251,7,1,1,1,0,657,1,0,693.9960938,281.4414063,412.554657,-0.070631362,-0.081492081,0.148194656,-51.40764236,0,33.44593811,0.740589142,0,1,1,1,0,1,-5.297093868,28
3101,242,6,1,1,1,0,450,0,0,386.2189941,252.2799988,133.9389801,-0.049220294,-0.075070448,0.364478469,-47.10302353,-69.06808472,0,0.740589142,0,1,1,1,0,1,-49.66766357,22
31010,251,3,1,0,1,1,657,1,0,496.4784546,408.3161011,88.16236877,0.065344565,0.027515611,0.546955466,35.30404282,0,0,0.740589142,0,1,1,1,0,1,23.01496124,174
31011,251,5,1,0,1,0,657,1,0,503.2601929,412.8372498,90.42294312,-0.040622488,-0.045788106,0.069790341,-12.07769871,0,0,0.740589142,0,1,1,1,0,1,-6.137322426,11
31012,251,5,1,0,1,1,657,1,0,383.1672058,320.4363098,62.73091507,-0.054391641,-0.053455845,-0.018747253,-2.78716135,0,119.4019775,0.740589142,0,1,1,1,0,1,46.02991867,20
31013,251,2,1,0,1,1,657,1,0,237.077652,154.5667114,82.51093292,-0.200358123,-0.136737585,-0.92880863,0,31.21620369,280.9458618,0.740589142,0,1,1,1,0,1,311.2298584,7
31014,251,4,1,0,0,1,657,1,0,178.8678741,110.4855347,68.38234711,-0.186405763,-0.15298681,-0.495912284,9.15117836,0,0,-0.11483559,0,0,1,1,0,1,3.284426212,21
31015,251,5,1,1,1,0,657,1,0,159.3704376,93.81380463,65.556633,-0.197360978,-0.14814806,-0.722657919,-30.28715324,0,35.11823273,0.740589142,0,1,1,1,0,1,-0.882240295,17
31016,251,10,1,1,1,0,657,1,0,588.5968628,348.9760437,239.6207886,-0.01364648,-0.069548674,0.797374904,-4.831079483,0,5.574322701,0.740589142,0,1,1,1,0,1,-3.286344051,24
31017,251,4,1,1,1,1,657,1,0,512.0198975,296.1351318,215.8847656,-0.070151232,-0.056553032,-0.201224059,-17.88428307,0,74.91889191,0.740589142,0,1,1,1,0,1,28.77962303,37
3102,242,6,1,0,1,0,450,0,0,311.959137,170.6732941,141.2858429,-0.151555032,-0.120993331,-0.451643497,-33.91046143,0,93.64862061,-2.229411125,0,0,0,0,0,1,20.07415962,17
3103,242,8,1,0,0,1,450,0,1,236.7950745,183.1064606,53.68862152,-0.117546134,-0.113948934,-0.06301605,-9.29053688,0,0,0.740589142,0,1,1,1,0,1,-2.397391558,25
3104,242,4,1,0,1,0,450,0,1,794.5916138,636.3514404,158.2401428,-0.006732269,0.031028114,-0.5401811,-10.68411732,0,0,0.740589142,0,1,1,1,0,1,-6.916474342,9
3105,242,5,1,0,1,0,450,0,1,495.9133301,394.1875,101.7258072,-0.061114233,-0.036123499,-0.363105983,0,0,0,0.740589142,0,1,1,1,0,1,-1.150748014,24
3106,242,5,1,0,0,1,450,0,0,778.7675781,439.6815491,339.0860291,0.105348416,0.11457742,-0.121448927,-47.6604538,-0.2229729,56.18916321,0.740589142,0,1,1,1,0,1,2.64288187,31
3108,242,4,1,0,1,0,450,0,1,759.5527344,567.4039307,192.1487427,-0.027471229,0.007047344,-0.495912284,-33.6317482,0,11.70607758,-0.11483559,0,0,1,1,0,1,-16.64697456,43
3109,242,7,1,0,1,1,450,0,1,246.9676514,101.1606674,145.8069916,-0.21310848,-0.175430462,-0.559405327,0,0,0,0.740589142,0,1,1,1,0,1,0,11
3110,242,10,1,0,0,1,450,0,1,570.2296753,485.4581604,84.77150726,-0.1206064,-0.059608642,-0.883450985,0,0,11.1486454,-0.359041333,0,1,0,1,0,1,4.209819794,8
31101,252,3,1,1,1,0,270,0,1,212.4939117,99.46523285,113.0286789,-0.225932211,-0.172473118,-0.786151052,-4.64526844,0,37.16214752,0.740589142,0,1,1,1,0,0,22.37565422,6
31102,252,7,1,1,1,0,270,0,1,684.1060791,525.8659058,158.2401428,0.027752608,0.02237054,0.079641536,61.31754684,0,0,-0.11483559,0,0,1,1,0,1,18.08318138,10
31103,252,5,1,0,1,1,270,0,0,3162.54248,2294.482178,119.8103943,0.719870508,0.759559453,-0.495912284,-57.66636276,0,0,0.740589142,0,1,1,1,0,1,-49.05830383,10
31104,252,4,1,0,1,0,270,0,0,1241.337402,1112.484741,128.8526917,0.272267729,0.266168505,0.114059038,-6.782091618,0,0,0.740589142,0,1,1,1,0,1,-7.398019791,34
31105,252,9,1,0,1,0,270,0,1,428.4916992,258.9487,169.5430145,-0.08237192,-0.05133158,-0.451643497,-9.66215992,0,23.41215515,-0.11483559,0,0,1,1,0,1,3.153901815,21
31106,252,10,1,1,1,0,270,0,1,1957.091553,1329.782349,627.3091431,0.536435664,0.411091387,1.843932033,46.45268631,0,0,0.740589142,0,1,1,1,0,1,7.700421333,55
31107,252,4,1,0,0,1,270,0,1,283.5889587,219.1625977,64.42634583,-0.178335398,-0.108365797,-1.017346144,-20.43918228,0,93.64862061,-0.11483559,0,0,1,1,0,1,17.28998947,12
31108,252,4,1,1,0,1,270,0,1,291.7270203,136.8777313,154.8492889,-0.203185037,-0.152666897,-0.741882265,-11.79898262,0,0,0.740589142,0,1,1,1,0,1,-8.474779129,12
31109,252,4,1,0,1,0,270,0,1,165.0783844,55.66662216,109.4117584,-0.202757627,-0.17564851,-0.407374799,-2.601350307,0,70.23646545,0.740589142,0,1,1,1,0,1,34.31866074,10
3111,242,8,1,0,1,0,450,0,0,114.1589661,46.34175873,67.81720734,-0.137781039,-0.140520513,0.02552145,0,0,0,-1.214466095,0,0,0,1,0,1,0,11
31110,252,3,1,1,1,0,270,0,0,101.1606674,13.56344128,87.59722137,-0.225838184,-0.197447315,-0.427969754,0,0,84.94205475,0.740589142,0,1,1,1,0,1,58.45069504,9
31111,252,7,1,1,1,0,270,0,0,1025.170044,594.5308228,430.6392517,0.017552817,0.011132816,0.093464069,-8.361484528,0,58.53038788,-1.12978065,0,0,1,0,0,1,13.30046844,30
31112,252,3,1,0,0,1,270,0,1,219.2756348,127.7224045,91.55323029,-0.213693783,-0.119867362,-1.361704946,-11.33445549,0,7.023645401,-1.12978065,0,0,1,0,0,1,-8.08080864,17
31113,252,7,1,1,1,1,270,0,0,284.5496826,214.4719086,70.07778168,-0.160837352,-0.111371741,-0.722657919,-6.038849354,0,0,-1.12978065,0,0,1,0,0,1,-5.445503712,13
31114,252,5,1,1,1,1,270,0,0,1516.279663,970.3511963,545.9285278,0.145992935,0.094293512,0.753105998,-131.0894928,0,0,0.740589142,0,1,1,1,0,1,-54.12351608,47
31115,252,7,1,1,0,1,270,0,0,356.5489502,214.6979675,141.8509827,-0.133277848,-0.115672559,-0.264717102,-16.90877724,0,23.41215515,0.740589142,0,1,1,1,0,1,-0.98351723,17
31116,252,5,1,1,1,0,270,0,0,570.2296753,499.5867615,70.64292145,-3.80E-04,0.050196156,-0.722657919,-19.13850784,0,11.70607758,0.740589142,0,1,1,1,0,1,-13.17606544,12
3112,242,10,1,1,1,0,450,0,0,476.415863,133.9389801,342.4768982,-0.172799155,-0.156812772,-0.245492861,-13.00675201,0,0,0.740589142,0,1,1,1,0,1,-3.835826397,9
3113,242,5,1,0,1,0,450,0,0,42.27272415,9.042294502,20.91030502,-0.276539087,-0.199706748,-1.125108004,-2.78716135,0,8.918915749,0.740589142,0,1,1,1,0,1,2.531645536,7
3114,242,5,1,0,1,0,450,0,1,297.2654114,155.4144287,141.8509827,-0.155614823,-0.118884534,-0.5401811,0,0,0,0.740589142,0,1,1,1,0,1,-4.209819794,26
3115,242,4,0,0,1,1,450,0,0,758.4224243,564.0131226,194.409317,-0.027320595,-0.015556977,-0.170777887,-36.23309708,0,11.70607758,-1.214466095,0,0,0,1,0,1,-43.80034637,50
3116,242,7,1,1,1,0,450,0,1,742.0332642,414.2500916,327.7831726,-0.050371423,-0.070032835,0.275940865,-87.23815155,0,23.41215515,0.740589142,0,1,1,1,0,1,-20.15863991,44
3117,242,3,1,0,1,0,450,0,1,419.3363953,368.4734802,50.86290359,-0.129093334,-0.058783051,-1.017346144,-34.37498856,0,0,0.740589142,0,1,1,1,0,1,-23.65426445,20
3118,242,5,1,0,0,1,450,0,0,339.3685913,203.7341919,135.6344147,-0.100491658,-0.102973141,0.02552145,0,0,0,-0.11483559,0,0,1,1,0,1,-7.710011482,12
3119,242,4,1,0,1,0,450,0,1,452.3972778,270.4211121,181.9761658,-0.101980641,-0.080370985,-0.318837196,30.48782921,0,2.78716135,0.740589142,0,1,1,1,0,1,21.9438076,32
3120,242,5,1,0,1,0,450,0,1,746.5543823,626.7440186,119.8103943,0.102889687,0.08180353,0.311447322,-51.09795761,0,0,0.740589142,0,1,1,1,0,1,-21.48063087,27
31201,253,11,1,0,1,0,380,0,0,496.4784546,436.5732727,59.90519714,-0.060272947,0.00566227,-0.948032916,-19.09205437,0,0,-1.12978065,0,0,1,0,0,1,-4.106077671,11
31202,253,6,1,0,1,0,380,0,0,753.9012451,652.1754761,101.7258072,0.047598593,0.112934664,-0.92880863,-33.91046143,0,0,-0.11483559,0,0,1,1,0,1,-13.26556778,21
31203,253,4,1,1,1,1,380,0,0,826.5787354,540.6161499,285.9625549,0.075390406,0.025462041,0.720823526,-3.57685709,0,0,-0.11483559,0,0,1,1,0,1,-22.63137627,39
